id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2017-490109;25/08/2017;1;Vente;150000.0;23.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0075;None;None;68;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855113;45.748866;000AI
2017-489533;04/08/2017;1;Vente;343900.0;231.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;343;nan;362;87.48;None;nan;None;None;None;None;2;2;Appartement;87.0;4.0;None;None;None;None;nan;4.855495;45.748598;000AI
2017-489533;04/08/2017;1;Vente;343900.0;26.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;554;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2017-489430;25/07/2017;1;Vente;210000.0;22.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;129;nan;207;70.09;None;nan;None;None;None;None;2;2;Appartement;70.0;3.0;None;None;None;None;nan;4.855495;45.748598;000AI
2017-489430;25/07/2017;1;Vente;210000.0;26.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;481;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2017-489371;24/07/2017;1;Vente;267000.0;29.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0023;None;None;213;nan;234;73.66;None;nan;None;None;None;None;2;2;Appartement;74.0;3.0;None;None;None;None;nan;4.857526;45.749236;000AI
2017-489371;24/07/2017;1;Vente;267000.0;10.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0023;None;None;13;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857526;45.749236;000AI
2017-489189;20/07/2017;1;Vente;56000.0;39.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0035;None;None;1;18.0;None;nan;None;nan;None;None;None;None;1;2;Appartement;17.0;1.0;None;None;None;None;nan;4.858971;45.74909;000AI
2017-489525;12/07/2017;1;Vente;10500.0;27.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;182;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2017-488929;10/07/2017;1;Vente;335000.0;25.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0022;None;None;219;nan;247;81.49;None;nan;None;None;None;None;2;2;Appartement;82.0;3.0;None;None;None;None;nan;4.857097;45.748565;000AI
2017-488929;10/07/2017;1;Vente;335000.0;28.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0022;None;None;33;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857097;45.748565;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;42.0;1.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;26.0;1.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;46.0;1.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;38.0;1.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;25.0;1.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;74.0;3.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;50.0;1.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;2;Appartement;50.0;2.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-489290;05/07/2017;1;Vente;1863000.0;263.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0043;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;4;Local industriel. commercial ou assimilé;787.0;0.0;S;sols;None;None;1017.0;nan;nan;000AI
2017-488925;04/07/2017;1;Vente;336850.0;18.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;60;102.15;76;nan;None;nan;None;None;None;None;2;2;Appartement;103.0;5.0;None;None;None;None;nan;4.855495;45.748598;000AI
2017-488925;04/07/2017;1;Vente;336850.0;26.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;422;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2017-489407;03/07/2017;1;Vente;200000.0;28.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;25;97.16;None;nan;None;nan;None;None;None;None;1;4;Local industriel. commercial ou assimilé;110.0;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2022-331836;24/06/2022;1;Vente;28000.0;15.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0096;None;None;150;nan;None;nan;None;nan;None;None;None;None;1;4;Local industriel. commercial ou assimilé;13.0;0.0;None;None;None;None;nan;4.856974;45.749378;000AI
2022-331403;09/06/2022;1;Vente;344400.0;23.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0040;None;None;48;66.79;None;nan;None;nan;None;None;None;None;1;2;Appartement;66.0;3.0;None;None;None;None;nan;4.858029;45.747787;000AI
2022-331403;09/06/2022;1;Vente;344400.0;23.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0040;None;None;4;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.858029;45.747787;000AI
2022-331403;09/06/2022;1;Vente;344400.0;23.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0040;None;None;48;66.79;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.858029;45.747787;000AI
2022-330999;19/05/2022;1;Vente;457000.0;16.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;277;nan;310;84.2;None;nan;None;None;None;None;2;2;Appartement;85.0;4.0;None;None;None;None;nan;4.855495;45.748598;000AI
2022-330999;19/05/2022;1;Vente;457000.0;16.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;277;nan;310;84.2;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2022-330648;09/05/2022;1;Vente;281000.0;14.0;B;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0011;None;None;6;nan;None;nan;None;nan;None;None;None;None;1;2;Appartement;60.0;3.0;None;None;None;None;nan;4.856341;45.749243;000AI
2022-330648;09/05/2022;1;Vente;281000.0;14.0;B;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0011;None;None;6;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856341;45.749243;000AI
2022-330644;14/04/2022;1;Vente;376520.0;29.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0023;None;None;213;nan;234;73.61;None;nan;None;None;None;None;2;2;Appartement;74.0;3.0;None;None;None;None;nan;4.857526;45.749236;000AI
2022-330644;14/04/2022;1;Vente;376520.0;10.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0023;None;None;13;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857526;45.749236;000AI
2022-330644;14/04/2022;1;Vente;376520.0;29.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0023;None;None;213;nan;234;73.61;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857526;45.749236;000AI
2022-329794;04/04/2022;1;Vente;239000.0;245.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0020;None;None;100;nan;60;nan;None;nan;None;None;None;None;2;2;Appartement;92.0;4.0;None;None;None;None;nan;4.857333;45.74773;000AI
2022-329794;04/04/2022;1;Vente;239000.0;245.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0020;None;None;100;nan;60;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857333;45.74773;000AI
2022-329794;04/04/2022;1;Vente;239000.0;243.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0020;None;None;168;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857333;45.74773;000AI
2022-330253;31/03/2022;1;Vente;390000.0;154.0;None;CRS GAMBETTA;2985;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0032;None;None;21;nan;4;89.27;None;nan;None;None;None;None;2;2;Appartement;90.0;3.0;None;None;None;None;nan;4.85879;45.749488;000AI
2022-330253;31/03/2022;1;Vente;390000.0;154.0;None;CRS GAMBETTA;2985;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0032;None;None;21;nan;4;89.27;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.85879;45.749488;000AI
2022-330253;31/03/2022;1;Vente;390000.0;154.0;None;CRS GAMBETTA;2985;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0032;None;None;3;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.85879;45.749488;000AI
2022-329490;30/03/2022;1;Vente;15000.0;15.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0105;None;None;105;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855532;45.7499;000AI
2022-329156;14/03/2022;1;Vente;288000.0;35.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0037;None;None;28;57.26;42;nan;None;nan;None;None;None;None;2;2;Appartement;57.0;2.0;None;None;None;None;nan;4.858319;45.748809;000AI
2022-329156;14/03/2022;1;Vente;288000.0;35.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0037;None;None;28;57.26;42;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.858319;45.748809;000AI
2022-329156;14/03/2022;1;Vente;288000.0;35.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0037;None;None;93;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.858319;45.748809;000AI
2022-329236;03/03/2022;1;Vente;160000.0;233.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0017;None;None;2;37.61;23;nan;None;nan;None;None;None;None;2;2;Appartement;36.0;1.0;None;None;None;None;nan;4.85558;45.748358;000AI
2022-329236;03/03/2022;1;Vente;160000.0;233.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0017;None;None;35;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.85558;45.748358;000AI
2022-329236;03/03/2022;1;Vente;160000.0;233.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0017;None;None;2;37.61;23;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.85558;45.748358;000AI
2022-328914;15/02/2022;1;Vente;17000.0;27.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;183;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328505;10/02/2022;1;Vente;283000.0;14.0;B;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0011;None;None;4;58.09;None;nan;None;nan;None;None;None;None;1;2;Appartement;60.0;3.0;None;None;None;None;nan;4.856341;45.749243;000AI
2022-328505;10/02/2022;1;Vente;283000.0;14.0;B;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0011;None;None;4;58.09;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856341;45.749243;000AI
2022-328403;03/02/2022;1;Vente;335850.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;61;nan;84;nan;None;nan;None;None;None;None;2;2;Appartement;66.0;3.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328403;03/02/2022;1;Vente;335850.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;61;nan;84;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328403;03/02/2022;1;Vente;335850.0;27.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;229;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328403;03/02/2022;1;Vente;335850.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;61;nan;84;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328097;28/01/2022;1;Vente;239175.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;50;nan;95;45.52;None;nan;None;None;None;None;2;2;Appartement;45.0;2.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328097;28/01/2022;1;Vente;239175.0;27.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;198;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328097;28/01/2022;1;Vente;239175.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;50;nan;95;45.52;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2022-328159;27/01/2022;1;Vente;325000.0;19.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0118;None;None;55;45.0;None;nan;None;nan;None;None;None;None;1;2;Appartement;68.0;3.0;None;None;None;None;nan;4.8551;45.749543;000AI
2022-327681;14/01/2022;1;Vente;260000.0;148.0;None;CRS GAMBETTA;2985;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0029;None;None;10;nan;18;52.83;None;nan;None;None;None;None;2;2;Appartement;56.0;2.0;None;None;None;None;nan;4.857384;45.750115;000AI
2022-327681;14/01/2022;1;Vente;260000.0;148.0;None;CRS GAMBETTA;2985;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0029;None;None;10;nan;18;52.83;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857384;45.750115;000AI
2021-1080867;30/12/2021;1;Vente;77250.0;22.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0021;None;None;15;nan;82;nan;None;nan;None;None;None;None;2;2;Appartement;32.0;1.0;None;None;None;None;nan;4.857417;45.748167;000AI
2021-1080867;30/12/2021;1;Vente;77250.0;22.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0021;None;None;130;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857417;45.748167;000AI
2021-1080867;30/12/2021;1;Vente;77250.0;22.0;None;RUE PIERRE ROBIN;5510;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0021;None;None;15;nan;82;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.857417;45.748167;000AI
2021-1080149;09/12/2021;1;Vente;169230.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;58;nan;87;nan;None;nan;None;None;None;None;2;2;Appartement;45.0;2.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1080149;09/12/2021;1;Vente;169230.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;58;nan;87;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1080149;09/12/2021;1;Vente;169230.0;27.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;185;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1080219;02/12/2021;1;Vente;229150.0;4.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0124;None;None;52;44.4;None;nan;None;nan;None;None;None;None;1;2;Appartement;43.0;2.0;None;None;None;None;nan;4.856379;45.74984;000AI
2021-1080219;02/12/2021;1;Vente;229150.0;4.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0124;None;None;13;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856379;45.74984;000AI
2021-1079519;26/11/2021;1;Vente;218000.0;18.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;49;44.66;None;nan;None;nan;None;None;None;None;1;2;Appartement;46.0;2.0;None;None;None;None;nan;4.855495;45.748598;000AI
2021-1079519;26/11/2021;1;Vente;218000.0;18.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;66;nan;None;nan;None;nan;None;None;None;None;1;2;Appartement;69.0;3.0;None;None;None;None;nan;4.855495;45.748598;000AI
2021-1079519;26/11/2021;1;Vente;218000.0;26.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;504;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2021-1079519;26/11/2021;1;Vente;218000.0;18.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;49;44.66;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2021-1079519;26/11/2021;1;Vente;218000.0;18.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0016;None;None;66;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855495;45.748598;000AI
2021-1079323;23/11/2021;1;Vente;355000.0;23.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0075;None;None;20;nan;37;71.04;None;nan;None;None;None;None;2;2;Appartement;71.0;3.0;None;None;None;None;nan;4.855113;45.748866;000AI
2021-1079323;23/11/2021;1;Vente;355000.0;23.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0075;None;None;20;nan;37;71.04;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855113;45.748866;000AI
2021-1079323;23/11/2021;1;Vente;355000.0;23.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0075;None;None;20;nan;37;71.04;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855113;45.748866;000AI
2021-1079323;23/11/2021;1;Vente;355000.0;23.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0075;None;None;13;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855113;45.748866;000AI
2021-1079323;23/11/2021;1;Vente;355000.0;23.0;None;RUE VICTORIEN SARDOU;7415;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0075;None;None;13;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855113;45.748866;000AI
2021-1076701;05/10/2021;1;Vente;4200000.0;27.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0099;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;4;Local industriel. commercial ou assimilé;54.0;0.0;S;sols;None;None;381.0;4.857136;45.749074;000AI
2021-1076701;05/10/2021;1;Vente;4200000.0;27.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0099;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;4;Local industriel. commercial ou assimilé;590.0;0.0;S;sols;None;None;381.0;4.857136;45.749074;000AI
2021-1076701;05/10/2021;1;Vente;4200000.0;27.0;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0099;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;4;Local industriel. commercial ou assimilé;659.0;0.0;S;sols;None;None;381.0;4.857136;45.749074;000AI
2021-1076701;05/10/2021;1;Vente;4200000.0;nan;None;RUE JULES BRUNARD;3945;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0097;None;None;None;nan;None;nan;None;nan;None;None;None;None;0;None;None;nan;nan;S;sols;None;None;196.0;4.857112;45.749169;000AI
2021-1076970;29/09/2021;1;Vente;358000.0;235.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0018;None;None;11;88.01;28;nan;None;nan;None;None;None;None;2;2;Appartement;90.0;4.0;None;None;None;None;nan;4.855834;45.748243;000AI
2021-1076970;29/09/2021;1;Vente;358000.0;235.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0018;None;None;11;88.01;28;nan;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855834;45.748243;000AI
2021-1076970;29/09/2021;1;Vente;358000.0;235.0;None;GDE RUE DE LA GUILLOTIERE;3405;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0018;None;None;43;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.855834;45.748243;000AI
2021-1076045;24/09/2021;1;Vente;475000.0;31.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;102;nan;124;122.36;None;nan;None;None;None;None;2;2;Appartement;121.0;5.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1076045;24/09/2021;1;Vente;475000.0;31.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;102;nan;124;122.36;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1076045;24/09/2021;1;Vente;475000.0;31.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;102;nan;124;122.36;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1076045;24/09/2021;1;Vente;475000.0;31.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;102;nan;124;122.36;None;nan;None;None;None;None;2;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
2021-1076045;24/09/2021;1;Vente;475000.0;29.0;None;RUE NICOLAI;5055;69007;69387;Lyon 7e Arrondissement;69;None;None;69387000AI0019;None;None;71;nan;None;nan;None;nan;None;None;None;None;1;3;Dépendance;nan;0.0;None;None;None;None;nan;4.856875;45.748105;000AI
